## Site Characteristics
Country = "Argentina"
Station = "SyntheticIndoorHydro"
Description = "Synthetic daily weather for indoor hydroponic barley"
Source = "User-defined defaults/inputs"
Contact = ""
Longitude = -58.38; Latitude = -34.6; Elevation = 25.0; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
2024-01-01,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-02,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-03,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-04,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-05,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-06,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-07,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-08,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-09,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
2024-01-10,14000.0,20.0,24.0,1.5,0.5,0.0,0.0
